OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info
131,CC995,PS 48,4360 Broadway,Manhattan,10033,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1002619,250118,School,
133,CC124,Rutgers,200 Madison St,Manhattan,10002,(646) 666-3040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,986778.8749,198767.5154,Cornerstone Program,
136,CC248,Riverside Library,127 Amsterdam Av,Manhattan,10023,(212) 870-1810,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,988608,221342,Library,
137,CC007,Baruch,605 FDR Drive,Manhattan,10002,(212) 477-2541,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,991046.389,200914.6887,Cornerstone Program,
140,CC022,Clinton,120 E 110 St,Manhattan,10029,(929) 281-2814,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,999391.8804,228888.5415,Cornerstone Program,
145,CC111,Goddard Riverside NSC - SENIORS ONLY,593 Columbus Av,Manhattan,10024,(212) 873-6600,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-5p,,992386.0001,226350.0001,Senior center,
146,CC121,Ottendorfer Library,135 2 Av,Manhattan,10003,(212) 674-0947,No,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,987649.0446,204833.6553,Library,
147,CC530,Dyckman Neighborhood Senior Center - SENIORS ONLY,3754 10 Av,Manhattan,10034,(212) 569-7790,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,9a-6p,,1005818.534,252982.64,Senior center,
148,CC614,Dyckman Community Center,3782 Tenth Avenue,Manhattan,10022,(646) 429-8447,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,12p-3p,3p-11p,1005938.582,253281.7714,Cornerstone Program,
152,CC358,Jefferson Houses NSC - SENIORS ONLY,2205 First Av,Manhattan,10029,(212) 828-6104,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,1p-4:30p,1p-4:30p,1p-4:30p,1p-4:30p,11a-4p,,1001667.981,228776.1016,Senior center,
154,CC254,Wagner,435 E 120 St,Manhattan,10035,(212) 996-1451,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1003185.902,230089.0987,Cornerstone Program,
158,CC997,PS 18,4124 9 Avenue,Manhattan,10034,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1008658,256785,School,
159,CC613,Johnson Community Center,1833 Lexington Ave,Manhattan,10029,(212) 360-7625,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1000264.59,229533.5387,Cornerstone Program,
165,CC606,Marble Hill Community Center,5365 Broadway,Bronx,10463,(718) 220-2421,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1009675.614,258636.4155,Cornerstone Program,
171,CC615,Seward Park Community Center,56 Essex Street,Manhattan,10002,(212) 460-8163,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,987396.7952,200446.5568,Cornerstone Program,
173,CC465,East River,404 E 105 St,Manhattan,10029,(212) 384-1220,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1000758.698,226269.714,Cornerstone Program,
179,CC599,Jackie Robinson NSC - SENIORS ONLY,1301 Amsterdam Ave.,Manhattan,10027,(212) 666-4910,No,No,OPEN,8a-4p,8a-6p,8a-6p,8a-6p,8a-6p,10a-6p,,996344.1612,235038.7987,Senior center,
183,CC039,Macomb's Bridge Library,2633 Adam C Powell Blvd,Manhattan,10039,(212) 281-4900,Yes,No,OPEN,10a-6p,10a-6p,11a-7p,11a-7p,10a-5p,10a-5p,,1001983.16,240419.301,Library,
185,CC050,Grand Coalition of Seniors NSC - SENIORS ONLY,175 Delancy St 4th FlL,Manhattan,10002,(646) 201-4251,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-3p,,989309.3294,200977.7917,Senior center,
187,CC470,Roosevelt Island Library,524 Main St,Manhattan,10044,(212) 308-6243,Yes,No,OPEN,10a-8p,10a-6p,10a-8p,10a-6p,10a-5p,10a-5p,,998050.7145,216635.1909,Library,
192,CC509,Battery Park City Library,175 North End Av,Manhattan,10282,(212) 790-3499,Yes,No,OPEN,10a-6p,11a-7p,10a-6p,11a-7p,10a-5p,10a-5p,,979847.2771,199976.0321,Library,
194,CC996,PS/IS210,501-503 West 152 Street,Manhattan,10031,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,999569,241672,School,
198,CC1032,Inwood Library (Temporary Location),4857 Broadway,Manhattan,10034,,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1005177,255141,Library,
199,CC960,NYC Vaccine Hub - Essex Crossing,244B Broome St,Manhattan,10002,,Yes,No,OPEN,,,,10a-8p,10a-8p,10a-8p,10a-8p,987272.6954,200858.3011,Other,
208,CC233,High Bridge Library,78 W 168 St,Bronx,10452,(718) 293-7800,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1005402.491,244580.2476,Library,
211,CC1005,IS 162,600 Saint Ann's Avenue,Bronx,10455,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1008595,236120,School,
213,CC1029,Woodstock Library,761 E 160th St Bronx NY 10456,Bronx,10456,718-665-6255,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1010652,238291,Library,
220,CC315,Sebco Senior Programs NSC - SENIORS ONLY,887 Southern Blvd ,Bronx,10459,(718) 617-3465,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-6p,8a-6p,8a-6p,8a-6p,12p-4p,,1013659.045,237694.9279,Senior center,Basement
222,CC943,HRA SNAP Center NYC,845 Barretto St,Bronx,10474,,Yes,No,OPEN,,,,10a-6p,10a-6p,10a-6p,10a-6p,1014486.972,236963.5658,Other,
223,CC744,The Hunts Point School,730 Bryant Av,Bronx,10474,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1015996.575,236540.9722,School,
225,CC452,Grand Concourse Library,155 E 173 St,Bronx,10457,(718) 583-6611,Yes,No,OPEN,10a-8p,10a-7p,10a-8p,10a-7p,10a-5p,10a-5p,,1009126,246785,Library,
229,CC024,Tremont Library,1866 Washington Av,Bronx,10457,(718) 299-5177,No,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1012374,247530,Library,
231,CC944,Mass Vaccination Site - Bathgate Contract Postal Station,4006 3rd Ave,Bronx,10457,,Yes,No,OPEN,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,1012418.584,246090.1096,Other,
232,CC401,Arturo Schomburg NSC - SENIORS ONLY,1315 Fanklin Av,Bronx,10456,(718) 842-6880,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,10a-3p,,1011394,242563.0002,Senior center,
233,CC028,Neighborhood SHOPP Innovative Senior Center - SENIORS ONLY,910 E 172 St,Bronx,10460,(718) 542-0222,Yes,No,OPEN,9a-5p,9a-6p,9a-6p,9a-6p,9a-6p,9a-5p,,1014630,243112,Senior center,
236,CC026,Belmont Library,610 E 186 St,Bronx,10458,(718) 933-6410,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1015256,250553,Library,
239,CC400,West Farms Library,2085 Honeywell Av,Bronx,10460,(718) 367-5376,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1016585,247038,Library,
242,CC519,Bronxworks Morris ISC - SENIORS ONLY,80 E 181 St,Bronx,10453,(718) 933-6671,Yes,No,OPEN,8a-3p,8a-3p,8a-3p,8a-3p,8a-3p,8a-4p,,1010708,250755.9999,Senior center,
243,CC309,Francis Martin Library,2150 University Av,Bronx,10453,(718) 295-5287,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,10a-5p,,1009344,251688,Library,
244,CC316,Van Cortlandt Library,3874 Sedgwick Av,Bronx,10463,(718) 543-5150,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1013583.088,260913.6315,Library,
245,CC310,Jerome Park Library,118 Eames Pl,Bronx,10468,(718) 549-5200,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1011564,255894,Library,
247,CC027,Mosholu Library,285 E 205 St,Bronx,10467,(718) 882-8239,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1017885,257854,Library,
248,CC222,Woodlawn Heights Library,4355 Katonah Av,Bronx,10470,(718) 519-9627,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1020742,267350,Library,
250,CC033,Soundview Library,660 Soundview Av,Bronx,10473,(718) 589-0880,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1022175,237601,Library,
251,CC334,Castle Hill Library,947 Castle Hill Av,Bronx,10473,(718) 824-3838,Yes,No,OPEN,10a-6p,10a-6p,11a-6p,11a-6p,10a-5p,10a-5p,,1025707,240470,Library,
253,CC350,Clason's Point Library,1215 Morrison Av,Bronx,10472,(718) 842-1235,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1018828,241686,Library,
255,CC333,Parkchester Library,1985 Westchester Av,Bronx,10462,(718) 829-7830,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-5p,10a-5p,,1023431,243068,Library,
256,CC1004,PS 106,2120 St Raymond's Avenue,Bronx,10462,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1024487,244241,School,
257,CC098,Westchester Square Library,2521 Glebe Av,Bronx,10461,(718) 863-0436,No,No,OPEN,11a-7p,10a-6p,11a-7p,10a-6p,10a-5p,10a-5p,,1026672,245749,Library,
258,CC326,Morris Park Library,985 Morris Park Av,Bronx,10462,(718) 931-0636,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023812.111,248259.0001,Library,
259,CC453,Rain Middletown NSC - SENIORS ONLY,3035 Middletown Rd,Bronx,10461,(718) 822-0486,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,9a-4p,,1031562.122,247020.2304,Senior center,
260,CC106,Pelham Parkway-Van Nest Library,2147 Barnes Av,Bronx,10462,(718) 829-5864,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1021825,250756,Library,
262,CC1003,PS 96,2385 Olinville Ave,Bronx,10467,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,,,8a-5p,,1020487,252890,School,
263,CC324,Allerton Library,2740 Barnes Av,Bronx,10467,(718) 881-4240,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1022086,255112,Library,
264,CC243,Rain Boston East NSC - SENIORS ONLY,3450 Boston Rd ,Bronx,10469,(718) 654-9200,Yes,No,OPEN,8a-4p,8a-6p,8a-6p,8a-6p,8a-6p,9a-5p,,1026174,258512.0001,Senior center,Program on Second Floor
265,CC103,Eastchester Library,1385 East Gun Hill Rd,Bronx,10469,(718) 653-3292,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1027067,256352,Library,
268,CC325,Wakefield Library,4100 Lowerre Pl,Bronx,10466,(718) 652-4663,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023102,263958,Library,
270,CC207,Edenwald Library,1255 E 233 St,Bronx,10466,(718) 798-3355,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1028245,263152,Library,
273,CC100,Pelham Bay Library,3060 Middletown Rd,Bronx,10461,(718) 792-6744,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1031846,246916,Library,
274,CC101,Throg's Neck Library,3025 Cross Bronx Exwy Ext,Bronx,10465,(718) 792-2612,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1034314,239132,Library,
275,CC1049,Petco Throgs Neck Bronx - Pet Friendly,815 Hutchinson River Pkwy,Bronx,10465,(718) 239-2715,Yes,No,OPEN,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,10a-7p,1029251,239373,Other,
277,CC104,City Island Library,320 City Island Av,Bronx,10464,(718) 885-1703,Yes,No,OPEN,11a-7p,11a-6p,11a-6p,11a-7p,10a-5p,10a-5p,,1043361,248183,Library,
280,CC220,Riverdale Library,5540 Mosholu Av,Bronx,10471,(718) 549-1212,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1011148,268516,Library,
281,CC219,Spuyten Duyvil Library,650 W 235 St,Bronx,10463,(718) 796-1202,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1007855,262171,Library,
303,CC607,Soundview Community Center,1680 Seward Ave.,Bronx,10473,(718) 378-6246,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1020556.662,237367.8941,Cornerstone Program,
305,CC035,James Monroe NSC - SENIORS ONLY,1776 Story Av,Bronx,10473,(718) 893-3484,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,9a-3p,,1021550.641,239165.2589,Senior center,
306,CC454,Bronx River NSC - SENIORS ONLY,1619 E 174 St,Bronx,10472,(718) 617-6334,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-4p,,1018469.238,243512.0445,Senior center,
308,CC013,Pelham Parkway,785 Pelham Pkwy North,Bronx,10467,(718) 547-5929,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1021789.059,252051.1811,Cornerstone Program,
309,CC241,Rain Boston Road NSC - SENIORS ONLY,2424 Boston Rd,Bronx,10467,(718) 547-8827,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,1021228.515,253247.7252,Senior center,
311,CC108,Rain Eastchester NSC - SENIORS ONLY,1246 Burke Av,Bronx,10469,(718) 882-8513,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-6p,,1025341.245,256578.6877,Senior center,
315,CC208,Boston Secor,3540 Bivona St,Bronx,10475,(718) 671-1040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1030526.273,261081.5447,Cornerstone Program,
317,CC603,Betances,465 St. Ann's Ave,Bronx,10455,(718) 585-5040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1007980.018,235339.2433,Cornerstone Program,
318,CC637,Edenwald Community Center,1150 East 229th St.,Bronx,10466,(718) 652-0478,Yes,Hours may be extended during a heat emergency.,OPEN,8a-11p,8a-11p,8a-11p,8a-11p,8a-11p,3p-11p,3p-11p,1026977.252,262070.5642,Cornerstone Program,
320,CC1006,PS 91,2200 AQUEDUCT AV,Bronx,10453,,Yes,No,OPEN,,8a-5p,8a-5p,,,8a-5p,,1009756,251729,School,
321,CC1008,JASA Einstein NSC - SENIORS ONLY,135 Einstein Loop,Bronx,10475,,No,No,OPEN,8a-4p,9a-5p,9a-5p,9a-5p,9a-5p,10a-4p,,1033241,254399,Senior center,
323,CC235,Highbridge Gardens,1155 University Av,Bronx,10452,(718) 992-7797,Yes,Hours may be extended during a heat emergency.,OPEN,6p-11p,6p-11p,6p-11p,6p-11p,6p-11p,3p-11p,3p-11p,1003984.768,244602.5314,Cornerstone Program,
326,CC321,Rain Parkchester NSC - SENIORS ONLY,1380 Metropolitan Av,Bronx,10462,(718) 892-5520,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,9a-12p,,1022772.882,243571.7918,Senior center,
327,CC1048,Petco Riverdale Bronx - Pet Friendly,193 W 237th St,Bronx,10463,(718) 796-0604,Yes,No,OPEN,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,10a-7p,1011950,261490,Other,
330,CC099,Baychester Library,2049 Asch Loop North,Bronx,10475,(718) 379-6700,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1031470.899,256547.6067,Library,
336,CC308,Sedgwick Library,1701 Dr M L King Jr Blvd,Bronx,10453,(718) 731-2074,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1007056.605,248789.6866,Library,
